recording_id,source_ids,role,date,title,description,duration_seconds,size,source_sha256,bank_relative_path,canonical_path,incorporation_status,archive_status,original_names,work_products,topic_routes
R4dda58c0ff99,[],original,2026-09-20,Caliper assessment - submitted answers and review,Screen recording of the Caliper assessment used to reconstruct submitted answers and independent interpretation; not an official Caliper score.,4266.6,752239607,4dda58c0ff994e7c595f2e0b3703750669ec85898d464de9eeb4957c59eae67d,Assessments\2026-09-20 - Caliper assessment - submitted answers and review - R4dda58c0ff99.mp4,F:\SEED BANK\RECORDINGS\Assessments\2026-09-20 - Caliper assessment - submitted answers and review - R4dda58c0ff99.mp4,reviewed in Caliper answer record and interpretation,archived and verified,"[""20260920-2047-36.4056800.mp4""]","[{""title"": ""Caliper Answer Record"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\ADMINISTRATION\\Evaluations\\Personality test\\CALIPER - ANSWER RECORD - 2026-09-20.pdf"", ""relationship"": ""assessment evidence""}, {""title"": ""Caliper Independent Interpretation"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\ADMINISTRATION\\Evaluations\\Personality test\\CALIPER - INDEPENDENT INTERPRETATION - 2026-09-20.pdf"", ""relationship"": ""assessment evidence""}]",[]
R27a28e19e229,[],original,2026-05-12,BBDF and Obsidian - system presentation and project manager,"Sampled discussion of BBDF/Obsidian integration, local Python tools and a project-management interface. Full discussion and participant attribution have not been reviewed.",5475.029625,139389632,27a28e19e22981d9fef41c51da34ac5cb8d865f60ed8223e08357e4618532f6e,BBDF\2026-05-12 - BBDF and Obsidian - system presentation and project manager - R27a28e19e229.m4a,F:\SEED BANK\RECORDINGS\BBDF\2026-05-12 - BBDF and Obsidian - system presentation and project manager - R27a28e19e229.m4a,identified from sampled local speech; downstream artifact not verified,archived and verified,"[""Recording (8).m4a""]",[],[]
Re69a78266c65,[],original,2026-07-28,Ben and Gabe - BBDF layout conversation,"Three-hour Ben/Gabe discussion of the BBDF system, with 36 transcript parts and speaker-identification notes.",10800.039479,274906873,e69a78266c65e222ea2719b1c698e09f66aed60bfcfed5eeecf42385f3f83f4a,BBDF\2026-07-28 - Ben and Gabe - BBDF layout conversation - Re69a78266c65.m4a,F:\SEED BANK\RECORDINGS\BBDF\2026-07-28 - Ben and Gabe - BBDF layout conversation - Re69a78266c65.m4a,transcript set exists,archived and verified,"[""GABE_BEN_BBDF_conversatio_7-28-26.m4a""]","[{""title"": ""Ben/Gabe transcript set and speaker notes"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Sound Recordings\\GABE_BEN_7-28-26_TRANSCRIPT FILES"", ""relationship"": ""transcribed discussion""}]",[]
R0dc9736b2581,[],original,2026-08-19,Front Desk - development specs interface feedback,"Voice note reviewing the BBDF Front Desk development-specs tab: progress/history views, status colors and behavior. No specific delivered spec has been verified.",364.361813,9273240,0dc9736b258199a844fbb2a00c9ad7a6c283d14abb2dfc90affe077880bcf905,BBDF\2026-08-19 - Front Desk - development specs interface feedback - R0dc9736b2581.m4a,F:\SEED BANK\RECORDINGS\BBDF\2026-08-19 - Front Desk - development specs interface feedback - R0dc9736b2581.m4a,identified from sampled local speech; downstream artifact not verified,archived and verified,"[""Recording (9).m4a""]",[],[]
R7892b6946280,[],original,undated,Flow-field infographic animation - visual reference,"Video showing a fluid-flow/topology-style dashboard with streamlines, equations, metrics and a color matrix. Identified from a sampled frame; no downstream design artifact has been verified.",52.933333,11439771,7892b6946280699b6c429e997518251a12d22c57b64bdac279786fe115ab9657,Design References\undated - Flow-field infographic animation - visual reference - R7892b6946280.mp4,F:\SEED BANK\RECORDINGS\Design References\undated - Flow-field infographic animation - visual reference - R7892b6946280.mp4,sampled visual identification; work-product association unverified,archived and verified,"[""recording for processing.MP4""]",[],[]
R99dab593c0b0,"[""S01""]",original,2026-09-10,"Structural inspection, foundations and reporting","Structural inspection, foundations and reporting",628.458646,156459778,99dab593c0b062d70aaff0d886503c67c9f7a84f186c16b340913b8656b67c0f,Home Inspection\2026-09-10 - S01 - Structural inspection foundations and reporting - R99dab593c0b0.mp4,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-10 - S01 - Structural inspection foundations and reporting - R99dab593c0b0.mp4,incorporated in SG-009; carried forward to SG-010,archived and verified,"[""Screen Recording 2026-09-10 233940.mp4""]","[{""title"": ""Home Inspection Study Guide family"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\CURRENT EDITION"", ""relationship"": ""incorporated in SG-009; carried forward to SG-010""}, {""title"": ""Published SG-009 source register"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\Study Guide Editions\\SG-009\\intake-sources.json"", ""relationship"": ""historical source attribution""}]","[{""topic_id"": ""inspection_method"", ""title"": ""Observe before you conclude""}, {""topic_id"": ""inspection_method"", ""title"": ""Observe before you conclude""}, {""topic_id"": ""inspection_method"", ""title"": ""Observe before you conclude""}, {""topic_id"": ""inspection_method"", ""title"": ""Observe before you conclude""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""foundation_types"", ""title"": ""Identify the foundation and slab""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}]"
R044a6c2cca64,"[""S02""]",original,2026-09-10,Structural inspection exam review,Structural inspection exam review,20.9333,4194927,044a6c2cca641a247a1bf85ea49d171960312627dddcbfe7afc81b17d0bdcf80,Home Inspection\2026-09-10 - S02 - Structural inspection exam review - R044a6c2cca64.mp4,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-10 - S02 - Structural inspection exam review - R044a6c2cca64.mp4,incorporated in SG-009; carried forward to SG-010,archived and verified,"[""Recording 2026-09-10 234813.mp4""]","[{""title"": ""Home Inspection Study Guide family"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\CURRENT EDITION"", ""relationship"": ""incorporated in SG-009; carried forward to SG-010""}, {""title"": ""Published SG-009 source register"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\Study Guide Editions\\SG-009\\intake-sources.json"", ""relationship"": ""historical source attribution""}]",[]
Rb96f6c76cb87,"[""S03""]",original,2026-09-11,"Basement moisture, drainage and framing","Basement moisture, drainage and framing",4328.6333,1106681708,b96f6c76cb87191ee002843da79a03a16113ec8b744598bdeefabea9a924944a,Home Inspection\2026-09-11 - S03 - Basement moisture drainage and framing - Rb96f6c76cb87.mp4,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-11 - S03 - Basement moisture drainage and framing - Rb96f6c76cb87.mp4,incorporated in SG-009; carried forward to SG-010,archived and verified,"[""Recording 2026-09-11 011637.mp4""]","[{""title"": ""Home Inspection Study Guide family"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\CURRENT EDITION"", ""relationship"": ""incorporated in SG-009; carried forward to SG-010""}, {""title"": ""Published SG-009 source register"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\Study Guide Editions\\SG-009\\intake-sources.json"", ""relationship"": ""historical source attribution""}]","[{""topic_id"": ""inspection_method"", ""title"": ""Observe before you conclude""}, {""topic_id"": ""movement"", ""title"": ""Read cracks with the surrounding structure""}, {""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""drainage"", ""title"": ""Trace drainage and test the available controls""}, {""topic_id"": ""drainage"", ""title"": ""Trace drainage and test the available controls""}, {""topic_id"": ""drainage"", ""title"": ""Trace drainage and test the available controls""}, {""topic_id"": ""drainage"", ""title"": ""Trace drainage and test the available controls""}, {""topic_id"": ""drainage"", ""title"": ""Trace drainage and test the available controls""}, {""topic_id"": ""drainage"", ""title"": ""Trace drainage and test the available controls""}, {""topic_id"": ""access_and_services"", ""title"": ""Check access and traces of earlier services""}, {""topic_id"": ""access_and_services"", ""title"": ""Check access and traces of earlier services""}, {""topic_id"": ""access_and_services"", ""title"": ""Check access and traces of earlier services""}, {""topic_id"": ""access_and_services"", ""title"": ""Check access and traces of earlier services""}, {""topic_id"": ""access_and_services"", ""title"": ""Check access and traces of earlier services""}, {""topic_id"": ""supports"", ""title"": ""Follow the bearing interfaces""}, {""topic_id"": ""supports"", ""title"": ""Follow the bearing interfaces""}, {""topic_id"": ""supports"", ""title"": ""Follow the bearing interfaces""}, {""topic_id"": ""supports"", ""title"": ""Follow the bearing interfaces""}, {""topic_id"": ""supports"", ""title"": ""Follow the bearing interfaces""}, {""topic_id"": ""supports"", ""title"": ""Follow the bearing interfaces""}, {""topic_id"": ""notches_and_holes"", ""title"": ""Separate notch limits from hole limits""}, {""topic_id"": ""notches_and_holes"", ""title"": ""Separate notch limits from hole limits""}, {""topic_id"": ""notches_and_holes"", ""title"": ""Separate notch limits from hole limits""}, {""topic_id"": ""notches_and_holes"", ""title"": ""Separate notch limits from hole limits""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""engineered_and_connections"", ""title"": ""Identify the member and its connection""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}]"
R16044827fe25,"[""S04""]",original,2026-09-11,Unit 3 exam and corrections,Unit 3 exam and corrections,280.4,29485780,16044827fe25c8d585bebea0dd4a685bab11f85c8ba54227a13dcdc07c2a8936,Home Inspection\2026-09-11 - S04 - Unit 3 exam and corrections - R16044827fe25.mp4,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-11 - S04 - Unit 3 exam and corrections - R16044827fe25.mp4,incorporated in SG-009; carried forward to SG-010,archived and verified,"[""Recording 2026-09-11 012220.mp4""]","[{""title"": ""Home Inspection Study Guide family"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\CURRENT EDITION"", ""relationship"": ""incorporated in SG-009; carried forward to SG-010""}, {""title"": ""Published SG-009 source register"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\Study Guide Editions\\SG-009\\intake-sources.json"", ""relationship"": ""historical source attribution""}]","[{""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""moisture"", ""title"": ""Distinguish moisture evidence from its cause""}, {""topic_id"": ""access_and_services"", ""title"": ""Check access and traces of earlier services""}, {""topic_id"": ""notches_and_holes"", ""title"": ""Separate notch limits from hole limits""}]"
Rff015d97e3a9,"[""S05""]",original,2026-09-11,"Crawl spaces, slabs, post-tension construction, and Unit 4 exam review","Crawl spaces, slabs, post-tension construction, and Unit 4 exam review",2188.9,548615754,ff015d97e3a9382bf77c9a16ca032860c87732e94c5fb6db69f81fe50efebbcb,Home Inspection\2026-09-11 - S05 - Crawl spaces slabs post-tension construction and Unit 4 exam review - Rff015d97e3a9.mp4,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-11 - S05 - Crawl spaces slabs post-tension construction and Unit 4 exam review - Rff015d97e3a9.mp4,incorporated in SG-009; carried forward to SG-010,archived and verified,"[""Recording 2026-09-11 022829.mp4""]","[{""title"": ""Home Inspection Study Guide family"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\CURRENT EDITION"", ""relationship"": ""incorporated in SG-009; carried forward to SG-010""}, {""title"": ""Published SG-009 source register"", ""path"": ""C:\\Users\\benja\\Dropbox\\THE PERFORMANCE TEAM\\Home Inspection Training\\Study Guide Editions\\SG-009\\intake-sources.json"", ""relationship"": ""historical source attribution""}]","[{""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_access"", ""title"": ""Plan crawl-space access and evidence""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_moisture"", ""title"": ""Identify the crawl-space moisture system""}, {""topic_id"": ""crawl_openings"", ""title"": ""Keep air vents and flood openings separate""}, {""topic_id"": ""crawl_openings"", ""title"": ""Keep air vents and flood openings separate""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""slab_evidence"", ""title"": ""Read slab condition in its construction context""}, {""topic_id"": ""post_tension"", ""title"": ""Recognize what the finished slab conceals""}, {""topic_id"": ""post_tension"", ""title"": ""Recognize what the finished slab conceals""}, {""topic_id"": ""post_tension"", ""title"": ""Recognize what the finished slab conceals""}, {""topic_id"": ""post_tension"", ""title"": ""Recognize what the finished slab conceals""}, {""topic_id"": ""post_tension"", ""title"": ""Recognize what the finished slab conceals""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}, {""topic_id"": ""reporting"", ""title"": ""Make the report useful to the client""}]"
