old_path,old_name,recording_id,source_ids,canonical_path,source_sha256
C:\Users\benja\Dropbox\THE PERFORMANCE TEAM\Sound Recordings\Testing\20260920-2047-36.4056800.mp4,20260920-2047-36.4056800.mp4,R4dda58c0ff99,,F:\SEED BANK\RECORDINGS\Assessments\2026-09-20 - Caliper assessment - submitted answers and review - R4dda58c0ff99.mp4,4dda58c0ff994e7c595f2e0b3703750669ec85898d464de9eeb4957c59eae67d
F:\SEED BANK\RECORDINGS\Recording (8).m4a,Recording (8).m4a,R27a28e19e229,,F:\SEED BANK\RECORDINGS\BBDF\2026-05-12 - BBDF and Obsidian - system presentation and project manager - R27a28e19e229.m4a,27a28e19e22981d9fef41c51da34ac5cb8d865f60ed8223e08357e4618532f6e
F:\SEED BANK\RECORDINGS\GABE_BEN_BBDF_conversatio_7-28-26.m4a,GABE_BEN_BBDF_conversatio_7-28-26.m4a,Re69a78266c65,,F:\SEED BANK\RECORDINGS\BBDF\2026-07-28 - Ben and Gabe - BBDF layout conversation - Re69a78266c65.m4a,e69a78266c65e222ea2719b1c698e09f66aed60bfcfed5eeecf42385f3f83f4a
F:\SEED BANK\RECORDINGS\Recording (9).m4a,Recording (9).m4a,R0dc9736b2581,,F:\SEED BANK\RECORDINGS\BBDF\2026-08-19 - Front Desk - development specs interface feedback - R0dc9736b2581.m4a,0dc9736b258199a844fbb2a00c9ad7a6c283d14abb2dfc90affe077880bcf905
F:\SEED BANK\RECORDINGS\recording for processing.MP4,recording for processing.MP4,R7892b6946280,,F:\SEED BANK\RECORDINGS\Design References\undated - Flow-field infographic animation - visual reference - R7892b6946280.mp4,7892b6946280699b6c429e997518251a12d22c57b64bdac279786fe115ab9657
F:\SEED BANK\RECORDINGS\Screen Recording 2026-09-10 233940.mp4,Screen Recording 2026-09-10 233940.mp4,R99dab593c0b0,S01,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-10 - S01 - Structural inspection foundations and reporting - R99dab593c0b0.mp4,99dab593c0b062d70aaff0d886503c67c9f7a84f186c16b340913b8656b67c0f
C:\Users\benja\Dropbox\THE PERFORMANCE TEAM\Sound Recordings\Screen Recording 2026-09-10 233940.mp4,Screen Recording 2026-09-10 233940.mp4,R99dab593c0b0,S01,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-10 - S01 - Structural inspection foundations and reporting - R99dab593c0b0.mp4,99dab593c0b062d70aaff0d886503c67c9f7a84f186c16b340913b8656b67c0f
F:\SEED BANK\RECORDINGS\Recording 2026-09-10 234813.mp4,Recording 2026-09-10 234813.mp4,R044a6c2cca64,S02,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-10 - S02 - Structural inspection exam review - R044a6c2cca64.mp4,044a6c2cca641a247a1bf85ea49d171960312627dddcbfe7afc81b17d0bdcf80
C:\Users\benja\Dropbox\THE PERFORMANCE TEAM\Sound Recordings\Recording 2026-09-10 234813.mp4,Recording 2026-09-10 234813.mp4,R044a6c2cca64,S02,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-10 - S02 - Structural inspection exam review - R044a6c2cca64.mp4,044a6c2cca641a247a1bf85ea49d171960312627dddcbfe7afc81b17d0bdcf80
F:\SEED BANK\RECORDINGS\Recording 2026-09-11 011637.mp4,Recording 2026-09-11 011637.mp4,Rb96f6c76cb87,S03,F:\SEED BANK\RECORDINGS\Home Inspection\2026-09-11 - S03 - Basement moisture drainage and framing - Rb96f6c76cb87.mp4,b96f6c76cb87191ee002843da79a03a16113ec8b744598bdeefabea9a924944a
